StateCode,State,Model_Class,Rank,Order,Selection_RMSE,Holdout_RMSE,AIC,BIC
INICLAIMS,Indiana,ARIMA,10,"(0, 1, 3)",917.9769440482852,917.9769440482852,37844.93108237204,37867.31665158829
INICLAIMS,Indiana,Rolling-CV SARIMAX,1,"(2, 1, 1)",6940.335489756333,1537.347986707922,31272.963512411807,31338.22570255702
INICLAIMS,Indiana,Rolling-CV SARIMAX,2,"(8, 1, 4)",7036.746687423732,2345.5065068542913,31134.11221510956,31248.246598401875
INICLAIMS,Indiana,Rolling-CV SARIMAX,3,"(1, 1, 2)",7058.770143136397,2599.2521696368376,31256.932649915783,31322.18776016091
INICLAIMS,Indiana,Rolling-CV SARIMAX,4,"(7, 1, 4)",7233.603769909119,2858.9256151603668,31151.369015652133,31260.08026325574
INICLAIMS,Indiana,Rolling-CV SARIMAX,5,"(1, 1, 1)",7327.015503107456,1599.0885086971641,31330.64820542207,31390.471879721845
INICLAIMS,Indiana,Rolling-CV SARIMAX,6,"(1, 1, 3)",7352.917661241725,1535.3152427948824,31227.79190816704,31298.477269820643
INICLAIMS,Indiana,Rolling-CV SARIMAX,7,"(0, 1, 2)",7370.324451054629,1599.7784719539716,31327.492606108983,31387.309790500334
INICLAIMS,Indiana,Rolling-CV SARIMAX,8,"(0, 1, 1)",7435.529245364854,1598.8825708887798,31424.05304502377,31478.438203478123
INICLAIMS,Indiana,Rolling-CV SARIMAX,9,"(4, 1, 3)",7438.248784683559,1533.732125407644,31207.21074309436,31294.2081112834
INICLAIMS,Indiana,Rolling-CV SARIMAX,10,"(2, 1, 4)",7511.838640522797,1527.4004240008314,31127.047567131434,31208.5987394192
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,1,"(4, 1, 2)",7739.7597365899155,1538.748048848013,14507.040513282562,14600.246096834837
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,2,"(6, 1, 1)",7789.043405108387,1507.0402293592822,14468.632877141295,14566.444226167096
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,3,"(5, 1, 2)",7996.552441534978,1550.2597786537997,14498.284219601264,14596.122843599984
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,4,"(0, 1, 3)",8007.751266916319,1531.236801986898,14507.187250655454,14586.411996674886
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,5,"(7, 1, 0)",8024.21514031502,1511.09600156286,14464.668002353808,14562.452040066037
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,6,"(1, 1, 6)",8024.83431769769,1546.7698370892351,14453.273435976167,14551.057473688394
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,7,"(1, 1, 4)",8024.8441782520895,1551.9350686231649,14486.390564779576,14574.91122458794
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,8,"(7, 1, 3)",8028.1007692087005,1508.5594910362368,14455.087684232742,14566.840870189571
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,9,"(0, 1, 4)",8032.73780758497,1521.3827542813617,14487.780516424618,14571.642194137805
INICLAIMS,Indiana,Rolling-CV SARIMAX + Google Trends,10,"(1, 1, 5)",8040.670454136547,1546.7465435481204,14468.856561726509,14562.010227465362
INICLAIMS,Indiana,Simple SARIMAX,1,"(5, 1, 3)",1520.7826332075483,1520.7826332075483,37573.22990424601,37668.32582760429
INICLAIMS,Indiana,Simple SARIMAX,2,"(4, 1, 4)",1520.8480082215715,1520.8480082215715,37574.503346639554,37669.59926999784
INICLAIMS,Indiana,Simple SARIMAX,3,"(5, 1, 4)",1521.857582048464,1521.857582048464,37574.4005760025,37675.09037720539
INICLAIMS,Indiana,Simple SARIMAX,4,"(2, 1, 2)",1522.5586677367037,1522.5586677367037,37643.04178878601,37715.77528581982
INICLAIMS,Indiana,Simple SARIMAX,5,"(4, 1, 2)",1522.682907385194,1522.682907385194,37609.22370487207,37693.13942351035
INICLAIMS,Indiana,Simple SARIMAX,6,"(3, 1, 2)",1522.698683056626,1522.698683056626,37637.21039451117,37715.53877593221
INICLAIMS,Indiana,Simple SARIMAX,7,"(1, 1, 6)",1523.1354478546464,1523.1354478546464,37558.55427515705,37648.04019976257
INICLAIMS,Indiana,Simple SARIMAX,8,"(6, 1, 5)",1524.1752924941052,1524.1752924941052,37558.69082662478,37670.558310487206
INICLAIMS,Indiana,Simple SARIMAX,9,"(1, 1, 4)",1524.3925175298386,1524.3925175298386,37594.24412066605,37672.558410490514
INICLAIMS,Indiana,Simple SARIMAX,10,"(8, 1, 5)",1524.8659030128654,1524.8659030128654,37532.40128418906,37655.43333901649
NYICLAIMS,New York,ARIMA,1,"(8, 1, 5)",4866.192489389703,4866.192489389703,42313.40976578658,42391.75925804348
NYICLAIMS,New York,ARIMA,2,"(7, 1, 0)",4938.908191053837,4938.908191053837,42384.92064987928,42429.69178831179
NYICLAIMS,New York,ARIMA,3,"(3, 1, 0)",4938.984132686828,4938.984132686828,42397.54267946533,42419.92824868159
NYICLAIMS,New York,ARIMA,4,"(0, 1, 2)",4941.6123893236845,4941.6123893236845,42546.05770795922,42562.84688487141
NYICLAIMS,New York,ARIMA,5,"(1, 1, 1)",4941.612960919102,4941.612960919102,42514.52294108105,42531.31211799324
NYICLAIMS,New York,ARIMA,6,"(6, 1, 0)",4942.841436614259,4942.841436614259,42389.79280680573,42428.96755293418
NYICLAIMS,New York,ARIMA,7,"(3, 1, 1)",4943.901511765681,4943.901511765681,42387.96490144834,42415.94686296866
NYICLAIMS,New York,ARIMA,8,"(4, 1, 1)",4944.126131776628,4944.126131776628,42387.90734204376,42421.48569586814
NYICLAIMS,New York,ARIMA,9,"(4, 1, 2)",4944.236328712885,4944.236328712885,42389.73223522007,42428.90698134852
NYICLAIMS,New York,ARIMA,10,"(5, 1, 0)",4944.356680509811,4944.356680509811,42387.85307583663,42421.43142966102
NYICLAIMS,New York,Rolling-CV SARIMAX,1,"(4, 1, 3)",23203.85271593798,8973.494878527574,34857.85132741285,34944.84869560191
NYICLAIMS,New York,Rolling-CV SARIMAX,2,"(2, 1, 2)",26226.62099478571,9580.083987614491,34880.97291287123,34951.665948970105
NYICLAIMS,New York,Rolling-CV SARIMAX,3,"(0, 1, 1)",26753.44649399222,5604.6630078335775,35054.11904518906,35108.50420364341
NYICLAIMS,New York,Rolling-CV SARIMAX,4,"(1, 1, 2)",26847.439744302388,4973.492723179209,34917.708997656446,34982.96410790157
NYICLAIMS,New York,Rolling-CV SARIMAX,5,"(0, 1, 2)",27100.717145556704,5685.039712326825,34953.51592077635,35013.3331051677
NYICLAIMS,New York,Rolling-CV SARIMAX,6,"(4, 1, 5)",27352.626904053534,8256.898068403098,34751.31870306253,34849.16947102055
NYICLAIMS,New York,Rolling-CV SARIMAX,7,"(2, 1, 0)",27362.15831448965,5584.123649822719,35237.23632499913,35297.05999929891
NYICLAIMS,New York,Rolling-CV SARIMAX,8,"(0, 1, 0)",27531.30781347843,5575.848745449437,46432.17128814597,46481.12323753128
NYICLAIMS,New York,Rolling-CV SARIMAX,9,"(1, 1, 0)",27535.50193608722,5589.581451860423,35336.868564527045,35391.259619399614
NYICLAIMS,New York,Rolling-CV SARIMAX,10,"(1, 1, 1)",27614.607886502607,5740.7738722802205,34988.6620009681,35048.48567526788
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,1,"(8, 0, 3)",20623.610985402487,4773.840429015419,16408.61614212951,16525.025710834547
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,2,"(1, 0, 6)",20710.243765971445,4763.941250040659,16475.136970034502,16572.948319060302
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,3,"(8, 0, 5)",20710.39931127345,4845.33765597967,16413.599261684496,16539.32159588593
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,4,"(6, 0, 5)",20711.62979674742,4842.59857707611,16496.10597688293,16612.580529262355
NYICLAIMS,New York,Rolling-CV SARIMAX + Google Trends,5,"(3, 0, 2)",20711.70276719396,4834.226599640564,16568.04687904085,16656.641374533687
